Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Newfoundland and Labrador,2020-12-19,f,80+,0
Newfoundland and Labrador,2020-12-19,m,80+,0
Nova Scotia,2020-12-19,f,80+,0
Nova Scotia,2020-12-19,m,80+,0
Quebec,2020-12-19,f,80+,241
Quebec,2020-12-19,m,80+,93
Manitoba,2020-12-19,f,80+,0
Manitoba,2020-12-19,m,80+,0
Saskatchewan,2020-12-19,f,80+,0
Saskatchewan,2020-12-19,m,80+,0
British Columbia,2020-12-19,f,80+,0
British Columbia,2020-12-19,m,80+,1
Yukon,2020-12-19,f,80+,0
Yukon,2020-12-19,m,80+,0
Northwest Territories,2020-12-19,f,80+,0
Northwest Territories,2020-12-19,m,80+,0
Nunavut,2020-12-19,f,80+,0
Nunavut,2020-12-19,m,80+,0
Newfoundland and Labrador,2020-12-26,f,80+,0
Newfoundland and Labrador,2020-12-26,m,80+,1
Prince Edward Island,2020-12-26,f,80+,0
Prince Edward Island,2020-12-26,m,80+,0
Nova Scotia,2020-12-26,f,80+,3
Nova Scotia,2020-12-26,m,80+,2
Quebec,2020-12-26,f,80+,1172
Quebec,2020-12-26,m,80+,559
Manitoba,2020-12-26,f,80+,1
Manitoba,2020-12-26,m,80+,1
Saskatchewan,2020-12-26,f,80+,0
Saskatchewan,2020-12-26,m,80+,0
Alberta,2020-12-26,f,80+,1
Alberta,2020-12-26,m,80+,0
British Columbia,2020-12-26,f,80+,343
British Columbia,2020-12-26,m,80+,146
Yukon,2020-12-26,f,80+,0
Yukon,2020-12-26,m,80+,0
Northwest Territories,2020-12-26,f,80+,0
Northwest Territories,2020-12-26,m,80+,0
Nunavut,2020-12-26,f,80+,0
Nunavut,2020-12-26,m,80+,0
Newfoundland and Labrador,2021-01-02,f,80+,0
Newfoundland and Labrador,2021-01-02,m,80+,1
Prince Edward Island,2021-01-02,f,80+,0
Prince Edward Island,2021-01-02,m,80+,0
Nova Scotia,2021-01-02,f,80+,5
Nova Scotia,2021-01-02,m,80+,4
Quebec,2021-01-02,f,80+,1215
Quebec,2021-01-02,m,80+,580
Manitoba,2021-01-02,f,80+,1
Manitoba,2021-01-02,m,80+,1
Saskatchewan,2021-01-02,f,80+,0
Saskatchewan,2021-01-02,m,80+,0
Alberta,2021-01-02,f,80+,494
Alberta,2021-01-02,m,80+,214
British Columbia,2021-01-02,f,80+,2489
British Columbia,2021-01-02,m,80+,1119
Yukon,2021-01-02,f,80+,0
Yukon,2021-01-02,m,80+,0
Northwest Territories,2021-01-02,f,80+,27
Northwest Territories,2021-01-02,m,80+,11
Nunavut,2021-01-02,f,80+,0
