Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Canada,2020-12-19,All sexes,80+,335
Canada,2020-12-19,f,80+,241
Canada,2020-12-19,m,80+,94
Canada,2020-12-19,Unknown,80+,0
Canada,2020-12-19,Not reported,80+,0
Newfoundland and Labrador,2020-12-19,All sexes,80+,0
Newfoundland and Labrador,2020-12-19,f,80+,0
Newfoundland and Labrador,2020-12-19,m,80+,0
Newfoundland and Labrador,2020-12-19,Unknown,80+,0
Newfoundland and Labrador,2020-12-19,Not reported,80+,0
Nova Scotia,2020-12-19,All sexes,80+,0
Nova Scotia,2020-12-19,f,80+,0
Nova Scotia,2020-12-19,m,80+,0
Nova Scotia,2020-12-19,Unknown,80+,0
Nova Scotia,2020-12-19,Not reported,80+,0
Quebec,2020-12-19,All sexes,80+,334
Quebec,2020-12-19,f,80+,241
Quebec,2020-12-19,m,80+,93
Quebec,2020-12-19,Unknown,80+,0
Quebec,2020-12-19,Not reported,80+,0
Manitoba,2020-12-19,All sexes,80+,0
Manitoba,2020-12-19,f,80+,0
Manitoba,2020-12-19,m,80+,0
Manitoba,2020-12-19,Unknown,80+,0
Manitoba,2020-12-19,Not reported,80+,0
Saskatchewan,2020-12-19,All sexes,80+,0
Saskatchewan,2020-12-19,f,80+,0
Saskatchewan,2020-12-19,m,80+,0
Saskatchewan,2020-12-19,Unknown,80+,0
Saskatchewan,2020-12-19,Not reported,80+,0
British Columbia,2020-12-19,All sexes,80+,1
British Columbia,2020-12-19,f,80+,0
British Columbia,2020-12-19,m,80+,1
British Columbia,2020-12-19,Unknown,80+,0
British Columbia,2020-12-19,Not reported,80+,0
Yukon,2020-12-19,All sexes,80+,0
Yukon,2020-12-19,f,80+,0
Yukon,2020-12-19,m,80+,0
Yukon,2020-12-19,Unknown,80+,0
Yukon,2020-12-19,Not reported,80+,0
Northwest Territories,2020-12-19,All sexes,80+,0
Northwest Territories,2020-12-19,f,80+,0
Northwest Territories,2020-12-19,m,80+,0
Northwest Territories,2020-12-19,Unknown,80+,0
Northwest Territories,2020-12-19,Not reported,80+,0
Nunavut,2020-12-19,All sexes,80+,0
Nunavut,2020-12-19,f,80+,0
Nunavut,2020-12-19,m,80+,0
Nunavut,2020-12-19,Unknown,80+,0
Nunavut,2020-12-19,Not reported,80+,0
Canada,2020-12-26,All sexes,80+,2229
Canada,2020-12-26,f,80+,1520
Canada,2020-12-26,m,80+,709
Canada,2020-12-26,Unknown,80+,0
Canada,2020-12-26,Not reported,80+,0
Newfoundland and Labrador,2020-12-26,All sexes,80+,1
Newfoundland and Labrador,2020-12-26,f,80+,0
Newfoundland and Labrador,2020-12-26,m,80+,1
Newfoundland and Labrador,2020-12-26,Unknown,80+,0
Newfoundland and Labrador,2020-12-26,Not reported,80+,0
Prince Edward Island,2020-12-26,All sexes,80+,0
Prince Edward Island,2020-12-26,f,80+,0
Prince Edward Island,2020-12-26,m,80+,0
Prince Edward Island,2020-12-26,Unknown,80+,0
Prince Edward Island,2020-12-26,Not reported,80+,0
Nova Scotia,2020-12-26,All sexes,80+,5
Nova Scotia,2020-12-26,f,80+,3
Nova Scotia,2020-12-26,m,80+,2
Nova Scotia,2020-12-26,Unknown,80+,0
Nova Scotia,2020-12-26,Not reported,80+,0
Quebec,2020-12-26,All sexes,80+,1731
Quebec,2020-12-26,f,80+,1172
Quebec,2020-12-26,m,80+,559
Quebec,2020-12-26,Unknown,80+,0
Quebec,2020-12-26,Not reported,80+,0
Manitoba,2020-12-26,All sexes,80+,2
Manitoba,2020-12-26,f,80+,1
Manitoba,2020-12-26,m,80+,1
Manitoba,2020-12-26,Unknown,80+,0
Manitoba,2020-12-26,Not reported,80+,0
Saskatchewan,2020-12-26,All sexes,80+,0
Saskatchewan,2020-12-26,f,80+,0
Saskatchewan,2020-12-26,m,80+,0
Saskatchewan,2020-12-26,Unknown,80+,0
Saskatchewan,2020-12-26,Not reported,80+,0
Alberta,2020-12-26,All sexes,80+,1
Alberta,2020-12-26,f,80+,1
Alberta,2020-12-26,m,80+,0
Alberta,2020-12-26,Unknown,80+,0
Alberta,2020-12-26,Not reported,80+,0
British Columbia,2020-12-26,All sexes,80+,489
British Columbia,2020-12-26,f,80+,343
British Columbia,2020-12-26,m,80+,146
British Columbia,2020-12-26,Unknown,80+,0
British Columbia,2020-12-26,Not reported,80+,0
Yukon,2020-12-26,All sexes,80+,0
Yukon,2020-12-26,f,80+,0
Yukon,2020-12-26,m,80+,0
Yukon,2020-12-26,Unknown,80+,0
Yukon,2020-12-26,Not reported,80+,0
Northwest Territories,2020-12-26,All sexes,80+,0
Northwest Territories,2020-12-26,f,80+,0
Northwest Territories,2020-12-26,m,80+,0
Northwest Territories,2020-12-26,Unknown,80+,0
Northwest Territories,2020-12-26,Not reported,80+,0
Nunavut,2020-12-26,All sexes,80+,0
Nunavut,2020-12-26,f,80+,0
Nunavut,2020-12-26,m,80+,0
Nunavut,2020-12-26,Unknown,80+,0
Nunavut,2020-12-26,Not reported,80+,0
Canada,2021-01-02,All sexes,80+,6161
Canada,2021-01-02,f,80+,4231
Canada,2021-01-02,m,80+,1930
Canada,2021-01-02,Unknown,80+,0
Canada,2021-01-02,Not reported,80+,0
Newfoundland and Labrador,2021-01-02,All sexes,80+,1
Newfoundland and Labrador,2021-01-02,f,80+,0
Newfoundland and Labrador,2021-01-02,m,80+,1
Newfoundland and Labrador,2021-01-02,Unknown,80+,0
Newfoundland and Labrador,2021-01-02,Not reported,80+,0
Prince Edward Island,2021-01-02,All sexes,80+,0
Prince Edward Island,2021-01-02,f,80+,0
Prince Edward Island,2021-01-02,m,80+,0
Prince Edward Island,2021-01-02,Unknown,80+,0
Prince Edward Island,2021-01-02,Not reported,80+,0
Nova Scotia,2021-01-02,All sexes,80+,9
Nova Scotia,2021-01-02,f,80+,5
Nova Scotia,2021-01-02,m,80+,4
Nova Scotia,2021-01-02,Unknown,80+,0
