Date,Province,Cumulative number of people (Vaccinedose1),Cumulative percent of people (Vaccinedose1)
12/19/2020,Canada,12368,0.1
12/19/2020,Newfoundland and Labrador,972,0.2
12/19/2020,Nova Scotia,1092,0.1
12/19/2020,Quebec,4728,0.1
12/19/2020,Manitoba,894,0.1
12/19/2020,Saskatchewan,1048,0.1
12/19/2020,British Columbia,3634,0.1
12/19/2020,Yukon,0,0
12/19/2020,Northwest Territories,0,0
12/19/2020,Nunavut,0,0
12/26/2020,Canada,46180,0.2
12/26/2020,Newfoundland and Labrador,1785,0.3
12/26/2020,Prince Edward Island,1152,0.7
12/26/2020,Nova Scotia,2218,0.2
12/26/2020,New Brunswick,2606,0.3
12/26/2020,Quebec,17221,0.2
12/26/2020,Manitoba,2177,0.2
12/26/2020,Saskatchewan,1782,0.2
12/26/2020,Alberta,4792,0.1
12/26/2020,British Columbia,12447,0.2
12/26/2020,Yukon,0,0
12/26/2020,Northwest Territories,0,0
12/26/2020,Nunavut,0,0
1/2/2021,Canada,82530,0.4
1/2/2021,Newfoundland and Labrador,1785,0.3
1/2/2021,Prince Edward Island,1674,1
1/2/2021,Nova Scotia,2720,0.3
1/2/2021,New Brunswick,2886,0.4
1/2/2021,Quebec,28310,0.3
1/2/2021,Manitoba,3432,0.2
1/2/2021,Saskatchewan,3540,0.3
1/2/2021,Alberta,13383,0.3
1/2/2021,British Columbia,24670,0.5
1/2/2021,Yukon,0,0
1/2/2021,Northwest Territories,130,0.3
1/2/2021,Nunavut,0,0
1/9/2021,Canada,217393,0.9
1/9/2021,Newfoundland and Labrador,2847,0.5
1/9/2021,Prince Edward Island,2485,1.5
1/9/2021,Nova Scotia,2755,0.3
1/9/2021,New Brunswick,6241,0.8
1/9/2021,Quebec,83298,1
1/9/2021,Manitoba,8694,0.6
1/9/2021,Saskatchewan,5528,0.5
1/9/2021,Alberta,44298,1
1/9/2021,British Columbia,60215,1.2
1/9/2021,Yukon,495,1.1
1/9/2021,Northwest Territories,511,1.2
1/9/2021,Nunavut,26,0.1
